Product Code,Description,Selling Group
,,
,,
BA0,BEEF A0,Sides A0-1
BA1,BEEF A1,Sides A0-1
,,
,,
BA0F,BEEF A0 FORE QUARTER,FQ A0-1
BA1F,BEEF A1 FORE QUARTER,FQ A0-1
,,
BA0H,BEEF A0  HIND QUARTER,HQ A0-1
BA1H,BEEF A1 HIND QUARTER,HQ A0-1
,,
BA0R,BEEF A0 RUMP & LION,R&L A0-1
BA1R,BEEF A1 RUMP & LION,R&L A0-1
,,
BA1T,BEEF A1 BUTTOCK,Buttocks A1
,,
BA1HP,BEEF A1 PISTOLA HQ,Pistola HQ A1
,,
,,
BA1RP,BEEF A1 PISTOLA RUMP & LOIN,Pistola R&L A1
,,
BA2,BEEF A2,Sides A2
,,
BA2F,BEEF A2 FORE QUARTER,FQ A2
,,
BA2H,BEEF A2 HIND QUARTER,HQ A2
,,
BA2R,BEEF A2 RUMP & LOIN,R&L A2
,,
BA2T,BEEF A2 BUTTOCK,Buttocks A2
,,
BA2HP,BEEF A2 PISTOLA HQ,Pistola HQ A2
,,
BA2RP,BEEF A2/3 PISTOLA RUMP & LOIN,Pistola R&L A2
,,
BA3,BEEF A3,Sides A3-6
BA4,BEEF A4,Sides A3-6
BA5,BEEF A5,Sides A3-6
BA6,BEEF A6,Sides A3-6
,,
BA3F,BEEF A3 FORE QUARTER,FQ A3-6
BA4F,BEEF A4  FORE QUARTER,FQ A3-6
BA5F,BEEF A5 FORE QUARTER,FQ A3-6
BA6F,BEEF A6 FORE QUARTER,FQ A3-6
,,
BA3H,BEEF A3 HIND QUARTER,HQ A3-6
BA4H,BEEF A4 HIND QUARTER,HQ A3-6
BA5H,BEEF A5 HIND QUARTER,HQ A3-6
BA6H,BEEF A6 HIND QUARTER,HQ A3-6
,,
,,
BA3R,BEEF A3 RUMP & LOIN,R&L A3-6
BA4R,BEEF A4 RUMP & LOIN,R&L A3-6
BA5R,BEEF A5 RUMP & LION,R&L A3-6
BA6R,BEEF A6 RUMP & LION,R&L A3-6
,,
BA3T,BEEF A3 BUTTOCK,Buttocks A3-6
BA4T,BEEF A4 BUTTOCK,Buttocks A3-6
BA5T,BEEF A5 BUTTOCK,Buttocks A3-6
BA6T,BEEF A6 BUTTOCK,Buttocks A3-6
,,
BA3HP,BEEF A3 PISTOLA HQ,Pistola HQ A3-6
BA4HP,BEEF A4 PISTOLA HQ,Pistola HQ A3-6
BA5HP,BEEF A5 PISTOLA HQ,Pistola HQ A3-6
BA6HP,BEEF A6 PISTOLA HQ,Pistola HQ A3-6
,,
BA3RP,BEEF A3 PISTOLA RUMP & LOIN,Pistola R&L A3-6
BA4RP,BEEF A4 PISTOLA RUMP & LOIN,Pistola R&L A3-6
BA5RP,BEEF A5 PISTOLA RUMP & LOIN,Pistola R&L A3-6
BA6RP,BEEF A6 PISTOLA RUMP & LOIN,Pistola R&L A3-6
,,
BAB0,BEEF AB0,Sides AB0-1
BAB1,BEEF AB1,Sides AB0-1
,,
BAB0F,BEEF AB0 FORE QUARTER,FQ AB0-1
BAB1F,BEEF AB1 FORE QUARTER,FQ AB0-1
,,
BAB0H,BEEF AB0  HIND QUARTER,HQ AB0-1
